鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
永康區,房地(土地+建物)+車位,臺南市永康區勝利街SA1,30.98,住,,,1090605,土地1建物1車位2,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.68,1,1,1,有,無,14550000,96151,坡道平面,76.14,2960000,,RPPOMLRKKIPFFKD66CB
永康區,房地(土地+建物)+車位,臺南市永康區勝利街SA2,31.26,住,,,1090605,土地1建物1車位2,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.7,1,1,1,有,無,14550000,96135,坡道平面,76.14,2960000,,RPQOMLRKKIPFFKD76CB
永康區,房地(土地+建物)+車位,臺南市永康區勝利街A1-02F,31.26,住,,,1090925,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.76,3,2,2,有,無,9550000,65776,坡道平面,38.07,1480000,,RPSOMLRKKIPFFKD96CB
永康區,房地(土地+建物)+車位,臺南市永康區勝利街A1-03F,31.26,住,,,1090930,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.76,3,2,2,有,無,9780000,66998,坡道平面,38.07,1560000,,RPWOMLRKKIPFFKD37CB
永康區,房地(土地+建物)+車位,臺南市永康區勝利街A1-04F,31.26,住,,,1090812,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.76,3,2,2,有,無,9520000,65205,坡道平面,38.07,1520000,,RPRPMLRKKIPFFKD96CB
永康區,房地(土地+建物)+車位,臺南市永康區勝利街A1-05F,31.26,住,,,1090623,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.76,3,2,2,有,無,9650000,65939,坡道平面,38.07,1560000,,RPROMLPLKIPFFKD76CB
永康區,房地(土地+建物)+車位,臺南市永康區勝利街A1-06F,31.26,住,,,1090617,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.76,3,2,2,有,無,9650000,66265,坡道平面,38.07,1520000,,RPSOMLPLKIPFFKD86CB
永康區,房地(土地+建物)+車位,臺南市永康區勝利街A1-07F,31.26,住,,,1090629,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.76,3,2,2,有,無,9980000,68628,坡道平面,38.07,1560000,,RPTOMLPLKIPFFKD96CB
永康區,房地(土地+建物)+車位,臺南市永康區勝利街A1-08F,31.26,住,,,1090617,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.01,3,2,2,有,無,9930000,67895,坡道平面,39.32,1600000,,RPUOMLPLKIPFFKD07CB
