鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
烏日區,房地(土地+建物),臺中市烏日區新高鐵段89，90，96地號,9.87,商,,,1081104,土地3建物1車位0,三層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.79,2,1,1,有,無,6230000,82201,,0.0,0,,RPOTQLQKKHGGFIB78DB
烏日區,房地(土地+建物)+車位,臺中市烏日區新高鐵段89，90，96地號,12.4,商,,,1081018,土地3建物1車位1,二十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.85,2,1,1,有,無,7050000,78844,坡道平面,24.75,1050000,,RPPTQLQKKHGGFIB88DB
烏日區,房地(土地+建物)+車位,臺中市烏日區新高鐵段89，90，96地號,12.4,商,,,1081004,土地3建物1車位1,十九層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.85,2,1,1,有,無,6830000,74639,坡道平面,24.75,1150000,,RPQTQLQKKHGGFIB98DB
烏日區,房地(土地+建物)+車位,臺中市烏日區新高鐵段89，90，96地號,17.21,商,,,1080724,土地3建物1車位1,九層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.49,3,2,2,有,無,9450000,72094,坡道平面,24.75,1250000,,RPRTQLQKKHGGFIB09DB
烏日區,房地(土地+建物)+車位,臺中市烏日區新高鐵段89，90，96地號,12.4,商,,,1080617,土地3建物1車位1,十七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.85,2,1,1,有,無,6840000,73456,坡道平面,24.75,1250000,,RPSTQLQKKHGGFIB56DB
烏日區,房地(土地+建物)+車位,臺中市烏日區新高鐵段89，90，96地號,17.21,商,,,1080609,土地3建物1車位1,八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.51,3,2,2,有,無,9180000,71918,坡道平面,22.77,1000000,,RPTTQLQKKHGGFIB66DB
烏日區,房地(土地+建物)+車位,臺中市烏日區新高鐵段89，90，96地號,12.4,商,,,1080614,土地3建物1車位1,十六層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.85,2,1,1,有,無,6720000,73193,坡道平面,24.75,1150000,,RPUTQLQKKHGGFIB76DB
烏日區,房地(土地+建物)+車位,臺中市烏日區新高鐵段89，90，96地號,17.21,商,,,1080615,土地3建物1車位1,七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.49,3,2,2,有,無,9230000,71039,坡道平面,24.75,1150000,,RPVTQLQKKHGGFIB86DB
烏日區,房地(土地+建物)+車位,臺中市烏日區新高鐵段89，90，96地號,12.4,商,,,1080620,土地3建物1車位1,十五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.85,2,1,1,有,無,6700000,72930,坡道平面,24.75,1150000,,RPWTQLQKKHGGFIB96DB
烏日區,房地(土地+建物)+車位,臺中市烏日區新高鐵段89，90，96地號,17.21,商,,,1090801,土地3建物1車位1,六層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.51,3,2,2,有,無,9290000,71127,坡道平面,22.77,1200000,,RPXTQLQKKHGGFIB07DB
