鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
清水區,房地(土地+建物)+車位,臺中市清水區港新三路26號10樓之2,18.11,商,,,1091125,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070926,136.35,2,2,2,有,有,有,17000,125,坡道平面,32.25,0,此為社會住宅包租代管有一個車位等於是租這房子房東附的車位，不另計任何費用,RPSRMLLKKIPFFFB68CC
霧峰區,房地(土地+建物),臺中市霧峰區草湖路61號3樓之2,12.06,商,,,1091204,土地1建物1車位0,三層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0810826,86.68,2,2,2,有,無,有,14400,166,,0.0,0,,RPSOMLLKKIPFFIB68CC
大肚區,建物,臺中市大肚區遊園路一段７４之６號,0.0,,鄉村區,乙種建築用地,1091125,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0691201,202.31,3,2,3,有,無,有,18000,89,,0.0,0,含增建或未登記建物。；110/1/15-111/1/14租金為18000元，111/1/15-115/1/14租金調整為20000元。,RPWNMLLKKIPFFKB56CC
大里區,房地(土地+建物),臺中市大里區中興路二段386之6號,121.12,住,,,1091120,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0680912,191.9,0,0,3,有,無,無,41000,214,,0.0,0,,RPRPMLLKKIPFFIB78DC
烏日區,建物,臺中市烏日區三榮路二段183號,0.0,住,,,1091211,土地0建物1車位0,一層,1,店面(店鋪),見其他登記事項,鋼筋混凝土造,1090422,71.91,0,0,0,無,無,有,35000,487,,0.0,0,,RPPQMLLKKIPFFIB68DC
梧棲區,房地(土地+建物),臺中市梧棲區台灣大道八段428.430號,98.0,住,,,1091130,土地2建物2車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0940630,298.28,4,4,9,有,無,無,60000,201,,0.0,0,,RPRQMLLKKIPFFFB58DC
豐原區,土地,翁明段8地號,140.1,工,,,1091205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,25000,178,,0.0,0,有未辦保存登記貳層樓房壹棟,RPPNMLMKKIPFFDB87CC
豐原區,房地(土地+建物),臺中市豐原區豐東路476號之2,266.94,工,,,1091212,土地1建物1車位0,一層,1,廠辦,見其他登記事項,見其他登記事項,0861209,150.47,0,0,0,無,無,無,22000,146,,0.0,0,,RPVNMLOKKIPFFDB68CC
烏日區,建物,臺中市烏日區三榮路二段183號,0.0,住,,,1091211,土地0建物1車位0,一層,1,店面(店鋪),見其他登記事項,鋼筋混凝土造,1090422,71.91,0,0,0,無,無,有,35000,487,,0.0,0,,RPQNMLOKKIPFFIB68CC
大里區,房地(土地+建物),臺中市大里區青松街100之8號,18.56,其他,,,1091028,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0791102,104.11,3,2,2,有,有,有,17000,163,,0.0,0,包租代管案件租金市價打9折。因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費、車位租金，管理費、停車位費用為承租人另行支付 。,RPTTMLOKKIPFFIB96CC
