鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
安南區,土地,青草崙段357-77地號,252.82,其他,,,1091025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,10000,40,,0.0,0,含地上面積約50坪之未保存登記廠房,RPRNMLSLIIPFFBD68DC
北區,建物,臺南市北區北門路二段５４７巷３２號,0.0,住,,,1091010,土地0建物1車位0,見其他登記事項,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930521,164.63,2,2,2,有,有,有,15000,91,,0.0,0,,RPSNMLSLIIPFFAD58CC
中西區,建物,臺南市中西區民族路二段１７３巷６號２樓之１０,0.0,商,,,1091010,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821228,27.24,1,0,1,有,無,有,5000,184,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPPOMLSLIIPFFAD38CC
中西區,建物,臺南市中西區金城街１５號４樓,0.0,住,,,1091020,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761017,55.83,2,2,1,有,無,有,6100,109,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPQOMLSLIIPFFAD48CC
北區,建物,臺南市北區北園街８７巷１８號,0.0,住,,,1091011,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0630816,96.97,4,2,2,有,無,有,15000,155,,0.0,0,,RPTOMLSLIIPFFAD78CC
東區,建物,臺南市東區林森路２段１９２巷１００號六樓,0.0,住,,,1091018,土地0建物0車位0,六層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701214,16.52,1,0,1,有,無,有,3600,218,,0.0,0,分租套房，坪數約5坪,RPSNMLSLIIPFFCD78CC
東區,建物,臺南市東區富農街１段７２巷２２號三樓之２,0.0,住,,,1091020,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860419,106.23,3,2,2,有,無,有,15000,141,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPTQMLSLIIPFFCD56CC
新市區,建物,臺南市新市區社內１３１號３樓之７,0.0,,鄉村區,乙種建築用地,1091001,土地0建物1車位0,三層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060908,76.58,2,1,2,有,無,有,13000,170,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPOOMLSLIIPFFHD98CC
新化區,建物,臺南市新化區大德路８２之９號,0.0,,特定農業區,甲種建築用地,1091020,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0831129,161.13,4,2,3,有,無,有,16000,99,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPPOMLSLIIPFFHD09CC
仁德區,建物,臺南市仁德區二仁路一段１０４號,9.0,住,,,1091027,土地0建物0車位0,全,4,透天厝,住商用,加強磚造,0660819,9.0,17,1,17,有,無,有,3000,333,,0.0,0,,RPQNMLTLIIPFFID66CC
關廟區,房地(土地+建物),臺南市關廟區中山路二段１６０號１F,86.0,住,,,1091028,土地1建物1車位0,一層,3,店面(店鋪),住家用,見其他登記事項,1060321,55.2,1,1,1,有,無,有,12000,217,,0.0,0,,RPROMLTLIIPFFID86CC
東區,房地(土地+建物),臺南市東區大同路一二段２８９號,52.2,住,,,1091008,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0650408,103.33,4,2,4,有,無,有,26000,252,,0.0,0,,RPSNMLTLIIPFFCD88CC
南區,土地,鹽埕段3-411地號,318.0,商,,,1091007,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,120000,377,,0.0,0,,RPTOMLTLIIPFFCD09CC
安平區,建物,臺南市安平區永華路二段１４１號,0.0,住,,,1091019,土地0建物1車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,見其他登記事項,0921120,778.47,0,0,0,無,無,無,200000,257,,0.0,0,,RPVNMLTLIIPFFAD98CC
中西區,建物,臺南市中西區健康路一段１７０巷１弄１２之３號,0.0,住,,,1091027,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691003,80.1,3,2,1,有,無,有,9500,119,,0.0,0,,RPROMLTLIIPFFAD68CC
安平區,房地(土地+建物),臺南市安平區平豐路１２２號２３樓之２,26.05,住,,,1091026,土地1建物1車位0,二十三層,28,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050604,173.54000000000002,3,2,3,有,有,有,30000,173,,0.0,0,,RPUOMLTLIIPFFAD98CC
永康區,建物,臺南市永康區網寮里復國二路２３０巷１７弄５號,0.0,住,,,1091011,土地0建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0821014,181.61,5,2,3,有,無,有,18000,99,,0.0,0,,RPVQMLTLIIPFFKD67CC
新營區,建物,臺南市新營區復興路６１８巷１６號,0.0,,,,1091027,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0701231,93.52,4,2,2,有,無,有,11000,118,,0.0,0,,RPROMLKMIIPFFDD18CC
安平區,房地(土地+建物)+車位,臺南市安平區平豐路１２２號２３樓之２,26.05,住,,,1091026,土地1建物1車位1,二十三層,27,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050604,173.54000000000002,3,2,3,有,有,有,30000,173,坡道平面,36.01,0,,RPRNMLKMIIPFFAD77CC
中西區,房地(土地+建物),臺南市中西區成功路２２５號,233.03,商,,,1091013,土地2建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0580103,200.56,0,0,0,無,無,無,65000,324,,0.0,0,,RPWOMLKMIIPFFAD38CC
南區,建物,臺南市南區德興路１３９巷４０號六樓,0.0,住,,,1091012,土地0建物1車位1,見其他登記事項,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831220,118.63,2,2,2,有,有,有,18340,155,坡道機械,0.0,0,車位面積無法分算。,RPWNMLKMIIPFFCD48CC
