編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLNJJIPFFFP66DA,38,95.44,住家用,加強磚造,72年3月28日,一層,一層
RPTNMLLKJIPFFFP96DA,22,8.06,避難室兼停車空間、水箱、消防機械室、台電受電室、電梯、樓梯間、車道,鋼筋混凝土造,88年1月13日,八層,
RPTNMLLKJIPFFFP96DA,22,6.79,電梯、樓梯間、機械室、水箱,鋼筋混凝土造,88年1月13日,八層,
RPTNMLLKJIPFFFP96DA,22,63.42,住家用,鋼筋混凝土造,88年1月13日,八層,三層 陽台
RPVNMLNKJIPFFFP37DA,38,121.55,農民住宅,加強磚造,71年7月19日,一層,一層 騎樓
RPPNMLLKJIPFFEP09DA,26,405.37,農舍,鋼筋混凝土造,84年3月24日,三層,一層 二層 三層 陽台 騎樓
RPWNMLQKJIPFFAP37EA,38,88.37,住家用,鋼架造,71年7月1日,一層,一層
RPQOMLTKJIPFFAP07DA,37,111.73,騎樓、店舖、住宅,鋼筋混凝土造,73年1月20日,2,一層 二層 騎樓
RPQNMLSKJIPFFAP96EA,29,369.40,住家用,鋼筋混凝土造,80年7月30日,三層,一層 二層 三層 陽台 騎樓
RPRNMLQKJIPFFEP17DA,31,193.07,住商用,鋼筋混凝土造,78年8月23日,三層,一層 二層 三層 陽台 平台
RPXNMLNKJIPFFDP37DA,40,145.56,住商用,加強磚造,70年1月20日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPPNMLOLJIPFFCP76EA,43,110.32,住商用,加強磚造,66年12月14日,二層,一層 二層 騎樓
RPQNMLTKJIPFFEP37DA,24,50.31,自用農舍,鋼鐵造,85年5月20日,一層,一層
RPOOMLKLJIPFFAP78EA,25,155.75,住家用,鋼筋混凝土造,84年12月20日,三層,一層 二層 三層 陽台 電梯樓梯間
RPQNMLKLJIPFFEP56DA,1,169.20,住家用,鋼筋混凝土造,109年4月28日,三層,一層 二層 三層 陽台
RPUNMLRKJIPFFDP47DA,2,9.14,集合住宅,鋼筋混凝土造,108年4月9日,七層,七層 陽台
RPUNMLRKJIPFFDP47DA,2,3.99,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,
RPUNMLRKJIPFFDP47DA,2,.38,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,
RPUNMLQKJIPFFBP17DA,5,74.88,住家用,鋼筋混凝土造,104年7月28日,五層,五層 陽台
RPUNMLQKJIPFFBP17DA,5,22.69,共有部份,鋼筋混凝土造,104年7月28日,五層,
RPRNMLOLJIPFFEP07DA,2,182.11,住宅、樓梯間,鋼筋混凝土造,108年4月15日,三層,陽台 見其他登記事項
RPUNMLOLJIPFFAP07EA,13,209.63,住宅、停車空間,鋼筋混凝土造,97年3月19日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPUNMLPLJIPFFCP37EA,2,228.39,騎樓、住宅、樓梯間,鋼筋混凝土造,107年11月26日,三層,一層 二層 三層 陽台 騎樓 見其他登記事項
RPSNMLPLJIPFFCP07DA,16,243.32,住宅、車庫,鋼筋混凝土造,93年5月19日,四層,一層 二層 三層 四層 陽台
RPPNMLRLJIPFFAP76DA,23,76.23,商業用,鋼筋混凝土造,86年11月21日,七層,一層 平台
RPUNMLRLJIPFFAP27DA,1,100.99,集合住宅,鋼筋混凝土造,108年10月18日,五層,五層 陽台
RPUNMLRLJIPFFAP27DA,1,36.20,機械室、停車空間、樓梯間,鋼筋混凝土造,108年10月18日,五層,
RPWNMLQLJIPFFDP77EA,,233.67,Ｈ２住宅,鋼筋混凝土造,109年9月7日,三層,一層 二層 三層 陽台
RPVNMLQLJIPFFDP67EA,,116.83,Ｈ２住宅,鋼筋混凝土造,109年9月7日,三層,一層 二層 三層 陽台
RPVNMLQLJIPFFDP67EA,,116.83,Ｈ２住宅,鋼筋混凝土造,109年9月7日,三層,一層 二層 三層 陽台
RPTNMLRKJIPFFDP37DA,2,9.01,集合住宅,鋼筋混凝土造,108年4月9日,七層,七層 陽台
RPTNMLRKJIPFFDP37DA,2,3.94,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,
RPTNMLRKJIPFFDP37DA,2,.37,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,
RPVNMLRKJIPFFDP57DA,2,9.01,集合住宅,鋼筋混凝土造,108年4月9日,七層,七層 陽台
RPVNMLRKJIPFFDP57DA,2,3.94,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,
RPVNMLRKJIPFFDP57DA,2,.37,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,
RPPNMLPLJIPFFEP96DA,24,201.11,住家用,鋼筋混凝土造,85年9月20日,四層,一層 二層 三層 四層 陽台
RPRNMLLJKIPFFCP09DA,41,105.58,住商用,加強磚造,68年8月1日,二層,一層 二層 騎樓
RPXNMLQLJIPFFDP77DA,1,292.48,住家用,鋼筋混凝土造,108年11月5日,四層,一層 二層 三層 四層 陽台
RPRNMLLJKIPFFAP88DA,26,171.36,住家用,鋼筋混凝土造,84年2月12日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPTNMLKMJIPFFDP86DA,2,221.90,住家用,鋼筋混凝土造,108年1月29日,四層,一層 二層 三層 四層 陽台
RPPNMLLJKIPFFBP88EA,28,125.91,住家用,鋼筋混凝土造,81年7月11日,二層,一層 二層 電梯樓梯間
RPQNMLKMJIPFFCP09DA,26,607.20,住家用,鋼鐵﹝有牆﹞造,83年12月14日,二層,一層 二層
RPWPMLMJKIPFFAP07DA,16,262.78,住家用,鋼筋混凝土造,93年10月12日,五層,一層 二層 三層 四層 五層 陽台
RPQOMLKMJIPFFAP98DA,53,73.50,住家用,加強磚造,56年10月2日,一層,一層
RPTOMLKMJIPFFAP66DA,25,152.86,住家用,鋼筋混凝土造,84年12月8日,三層,一層 二層 三層 陽台 電梯樓梯間
