編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLMJOHHGFEE18DA,,66.69,本共有部分之項目有防空避難室兼停車空間、管理委員會使用空間、門廳、停車空間（車道）、梯間、樓梯間、機械房、水箱等８項,鋼筋混凝土,111年3月29日,十五層,
RPWRMLTLMHHGFGE07DA,,121.05,店舖,鋼筋混凝土,111年4月21日,十五層,一層
RPWRMLTLMHHGFGE07DA,,110.00,本共有部分之項目有防空避難室兼停車空間、門廳、樓梯間、車道、公共服務空間、管委會使用空間、機械室、水箱等項。,鋼筋混凝土,111年4月21日,十五層,
RPRSMLLKNHHGFEE28DA,,43.26,集合住宅,鋼筋混凝土,111年3月24日,十五層,十一層 陽台
RPRSMLLKNHHGFEE28DA,,30.34,本共有部分之項目有：防空避難室兼停車空間、車道空間、機車停車空間、公共服務空間、管委會使用空間、梯廳、走廊、樓梯間等共８項。,鋼筋混凝土,111年3月24日,十五層,
RPSOMLNKOHHGFAE87DA,,55.23,集合住宅,鋼筋混凝土,110年12月30日,十五層,五層 陽台 雨遮
RPSOMLNKOHHGFAE87DA,,69.41,防空避難室兼停車空間、騎樓、汽車昇降道、樓梯間、管委會使用空間、車道、門廳、門廊、機械室、水箱、廁所等１１項。,鋼筋混凝土,110年12月30日,十五層,
RPXPNLTLMHHGFEE86DA,,43.26,集合住宅,鋼筋混凝土,111年3月24日,十五層,十二層 陽台
RPXPNLTLMHHGFEE86DA,,29.60,本共有部分之項目有：防空避難室兼停車空間、車道空間、機車停車空間、公共服務空間、管委會使用空間、梯廳、走廊、樓梯間等共８項。,鋼筋混凝土,111年3月24日,十五層,
RPTVMLNLLHHGFEE88DA,,83.81,集合住宅,鋼筋混凝土,111年3月30日,十五層,十層 陽台
RPTVMLNLLHHGFEE88DA,,67.93,本共有部分之項目有防空避難室兼停車空間、停車空間、管理委員會使用空間、梯廳兼門廳、車道、公共服務空間、門廊、外廊、管道間、梯間、水箱、機械室等１２項,鋼筋混凝土,111年3月30日,十五層,
RPVNMLTLMHHGFGE56DA,,67.24,集合住宅,鋼筋混凝土,111年4月21日,十五層,七層 陽台
RPVNMLTLMHHGFGE56DA,,59.71,本共有部分之項目有防空避難室兼停車空間、門廳、樓梯間、車道、公共服務空間、管委會使用空間、機械室、水箱等項。,鋼筋混凝土,111年4月21日,十五層,
RPRNMLKMMHHGFGE97DA,,108.69,集合住宅,鋼筋混凝土,111年4月21日,十五層,八層 陽台
RPRNMLKMMHHGFGE97DA,,121.00,本共有部分之項目有防空避難室兼停車空間、門廳、樓梯間、車道、公共服務空間、管委會使用空間、機械室、水箱等項。,鋼筋混凝土,111年4月21日,十五層,
RPXOMLTLMHHGFGE86DA,,51.04,集合住宅,鋼筋混凝土,111年4月21日,十五層,十二層 陽台
RPXOMLTLMHHGFGE86DA,,48.71,本共有部分之項目有防空避難室兼停車空間、門廳、樓梯間、車道、公共服務空間、管委會使用空間、機械室、水箱等項。,鋼筋混凝土,111年4月21日,十五層,
RPXOMLPKPHHGFEE09DA,,81.30,集合住宅,鋼筋混凝土造,111年3月29日,十五層,十五層 陽台 雨遮
RPXOMLPKPHHGFEE09DA,,75.97,本共有部分之項目有防空避難室兼停車空間、梯間、門廳兼梯廳、公共服務空間、管委會使用空間、車道、門廊、樓梯間、水箱、機械室等１０項。,鋼筋混凝土造,111年3月29日,十五層,
RPTRMLLKPHHGFEE58DA,,75.36,集合住宅,鋼筋混凝土,111年3月29日,十五層,三層 陽台
RPTRMLLKPHHGFEE58DA,,66.69,本共有部分之項目有防空避難室兼停車空間、管理委員會使用空間、門廳、停車空間（車道）、梯間、樓梯間、機械房、水箱等８項,鋼筋混凝土,111年3月29日,十五層,
RPPQMLNLLHHGFEE97DA,,83.63,集合住宅,鋼筋混凝土,111年3月30日,十五層,十層 陽台
RPPQMLNLLHHGFEE97DA,,67.84,本共有部分之項目有防空避難室兼停車空間、停車空間、管理委員會使用空間、梯廳兼門廳、車道、公共服務空間、門廊、外廊、管道間、梯間、水箱、機械室等１２項,鋼筋混凝土,111年3月30日,十五層,
RPQNMLTKPHHGFKE66DA,,161.70,住家用,鋼筋混凝土造,110年10月27日,三層,一層 二層 三層 陽台
RPSQMLLKPHHGFEE38DA,,102.59,集合住宅,鋼筋混凝土,111年5月10日,十五層,二層 陽台
