鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大安區,建物,臺北市大安區大安路二段８８號,0.0,住,,,1100305,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0730814,76.11,0,0,0,無,有,無,75000,985,,0.0,0,,RPPQMLKMLHGGFFA47CC
大安區,建物,臺北市大安區仁愛路四段77號4樓之1,0.0,其他,,,1100317,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.22,3,2,2,有,無,有,38000,375,,0.0,0,,RPQQMLKMLHGGFFA57CC
大安區,建物,臺北市大安區安和路一段37號6樓,0.0,住,,,1100319,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.74,3,2,2,有,無,有,51000,365,,0.0,0,,RPRQMLKMLHGGFFA67CC
大安區,建物,臺北市大安區忠孝東路四段300號6樓,0.0,商,,,1100305,土地0建物1車位0,六層,11,辦公商業大樓,商業用,鋼筋混凝土造,0611228,324.0,0,0,0,無,無,無,176400,544,,0.0,0,,RPTQMLKMLHGGFFA87CC
大安區,建物,臺北市大安區信義路四段１號六樓之１,0.0,商,,,1100225,土地0建物0車位0,六層,12,辦公商業大樓,住家用,鋼筋混凝土造,0611205,111.1,0,1,2,有,有,有,48925,440,,0.0,0,含增建或未登記建物。；部分承租。,RPUNMLLMLHGGFFA77CC
大安區,建物,臺北市大安區光復南路296號8樓之3,0.0,住,,,1100330,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.77,2,2,2,有,有,有,45000,456,,0.0,0,租金不含管理費 無車位,RPVOMLLMLHGGFFA97CC
中正區,建物,臺北市中正區羅斯福路四段６８號十樓之８,0.0,商,,,1100317,土地0建物1車位0,十層,15,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0941229,37.83,1,1,1,有,有,有,25000,661,,0.0,0,含增建或未登記建物。；租金含管理費。,RPXOMLLMLHGGFAA67CC
士林區,建物,臺北市士林區中山北路六段２９３號,0.0,住,,,1100315,土地0建物1車位0,全,3,透天厝,商業用,鋼筋混凝土造,0730321,111.3,0,1,1,有,無,無,40000,359,,0.0,0,含增建或未登記建物。；,RPPNMLLMLHGGFEA17CC
北投區,房地(土地+建物),臺北市北投區裕民六路128號三樓,47.29,商,,,1100222,土地1建物1車位0,三層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860225,49.58,1,1,1,有,有,有,18000,363,,0.0,0,此為分租套房.面積為共五間套房.只承租一間.,RPQNMLLMLHGGFEA27CC
士林區,建物,臺北市士林區天母東路４５之１號,0.0,商,,,1100315,土地0建物2車位0,見其他登記事項,7,店面(店鋪),見使用執照,鋼筋混凝土造,0761105,439.56,0,2,0,有,無,無,140000,319,,0.0,0,租賃期間含免租金裝潢期。租金調漲：租期第4年起調漲5%。,RPOOMLLMLHGGFEA17CC
