鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
三民區,建物,高雄市三民區河北一路２６８號六樓之１２,0.0,其他,,,1100221,土地0建物1車位0,六層,12,套房(1房1廳1衛),,鋼筋混凝土造,0690718,34.6,1,1,1,有,有,有,7000,202,,0.0,0,租金含管理費。,RPOPMLLKLHGGFDE37CC
楠梓區,建物,高雄市楠梓區榮昌街28號11樓,0.0,住,,,1100225,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970912,76.01,2,1,1,有,有,有,12300,162,,0.0,0,,RPVPMLLKLHGGFEE18CC
左營區,房地(土地+建物),高雄市左營區新庄仔路542號,80.0,住,,,1100217,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0690819,54.12,0,0,0,無,無,有,30000,554,,0.0,0,只有承租一樓+騎樓建物坪數只登錄一樓+騎樓坪數土地坪數依照土地謄本坪數登錄,RPTQMLLKLHGGFEE08CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳仁路97-76號,240.0,工,,,1100224,土地1建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,1070712,152.72,0,0,0,無,無,無,38000,,,0.0,0,,RPRNMLLKLHGGFGE77CC
鳳山區,土地,牛潮埔段167-1地號,528.92,工,,,1100225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,55000,104,,0.0,0,含增建或未登記建物。；,RPTNMLLKLHGGFGE97CC
大樹區,土地,曹公段297-60地號,482.15,農,,,1100309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,33000,68,,0.0,0,含增建或未登記建物。；,RPXNMLLKLHGGFGE38CC
梓官區,土地,梓信段36地號,644.7,其他,,,1100305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,38000,59,,0.0,0,含增建或未登記建物。；承租地坪約195坪，承租未保存登記建物約195坪,RPUOMLLKLHGGFFE08CC
岡山區,房地(土地+建物),高雄市岡山區岡山路51號1樓,96.96,住,,,1100308,土地1建物1車位0,一層,11,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0950512,136.43,0,0,0,無,無,無,36000,264,,0.0,0,,RPVOMLLKLHGGFFE18CC
仁武區,土地,烏林段601地號,214.87,,山坡地保育區,農牧用地,1100224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,93,,0.0,0,含增建或未登記建物。；1.實際承租地坪約65坪.2.承租未保存登記建物約65坪.,RPSNMLLKLHGGFIE08CC
大社區,土地,圳觀段23地號,396.69,農,,,1100226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,39000,98,,0.0,0,含增建或未登記建物。；1.實際承租地坪約120坪.2.承租未保存登記建物約100坪.,RPVNMLLKLHGGFIE38CC
大社區,土地,大安段162地號,66.11,住,,,1100301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,5000,76,,0.0,0,含增建或未登記建物。；1.實際承租地坪約20坪.2.承租未保存登記建物約12坪.,RPWNMLLKLHGGFIE48CC
鳥松區,土地,埔段1199地號,330.57,農,,,1100302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,28000,85,,0.0,0,含增建或未登記建物。；1.實際承租地坪約100坪.2.承租未保存登記建物約100坪.,RPSOMLLKLHGGFIE18CC
仁武區,土地,灣勢段415地號,247.93,農,,,1100303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,27000,109,,0.0,0,含增建或未登記建物。；1.實際承租地坪約75坪.2.承租未保存登記建物約75坪.,RPTOMLLKLHGGFIE28CC
仁武區,房地(土地+建物),高雄市仁武區京富路412號,144.87,住,,,1100310,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0901206,160.75,5,2,4,有,無,無,19000,118,,0.0,0,,RPUOMLLKLHGGFIE38CC
鳥松區,土地,大丘園段491地號,115.7,,一般農業區,農牧用地,1100305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,8000,69,,0.0,0,含增建或未登記建物。；1.實際承租地坪約35坪.2.承租未保存登記建物約25坪.,RPVOMLLKLHGGFIE48CC
大社區,土地,鹽埕段269地號,132.23,農,,,1100309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,18000,136,,0.0,0,含增建或未登記建物。；1.實際承租地坪約40坪.2.承租未保存登記建物約35坪.,RPWOMLLKLHGGFIE58CC
大寮區,土地,磚子段3127地號,330.57,農,,,1100225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,33000,100,,0.0,0,含增建或未登記建物。；1.實際承租地坪約100坪.2.承租未保存登記建物約85坪.,RPWNMLLKLHGGFLE78CC
路竹區,房地(土地+建物),高雄市路竹區復興路11之8號,361.0,工,,,1100305,土地2建物1車位0,見其它登記事項,1,工廠,工廠,鋼骨構造（有牆）,1040709,155.32,0,0,0,無,無,無,30000,,,0.0,0,含增建或未登記建物。；承租地坪約109坪，承租含未保存登記建物共約90坪,RPWNMLLKLHGGFJE58CC
仁武區,房地(土地+建物),高雄市仁武區京吉六路33號,116.31,住,,,1100310,土地1建物1車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1080523,94.46,4,4,7,有,無,無,30000,318,,0.0,0,,RPQNMLLKLHGGFIE97DC
鳳山區,建物,高雄市鳳山區文澄街94號3樓之1,11.51,其他,,,1100301,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830128,58.73,2,2,1,有,無,有,11000,187,,0.0,0,,RPSNMLMKLHGGFGE08DC
鳳山區,房地(土地+建物),高雄市鳳山區海洋?路６號,11.47,住,,,1100309,土地1建物1車位0,見其他登記事項,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0870126,81.67999999999999,0,0,0,無,有,無,18000,220,,0.0,0,,RPUNMLMKLHGGFGE18CC
鳳山區,房地(土地+建物),高雄市鳳山區海洋?路６號,11.46,住,,,1100309,土地1建物1車位0,見其他登記事項,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0870126,95.00999999999999,2,0,2,有,有,有,15000,158,,0.0,0,,RPVNMLMKLHGGFGE28CC
鳳山區,房地(土地+建物),高雄市鳳山區五甲一路746號1樓,16.12,住,,,1100311,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0970401,156.4,0,2,2,有,無,無,26000,166,,0.0,0,,RPOOMLMKLHGGFGE67CC
左營區,房地(土地+建物),高雄市左營區至真路546.548號,272.0,住,,,1100220,土地3建物2車位0,全,2,透天厝,,加強磚造,0630504,136.31,0,0,0,無,無,無,100000,734,,0.0,0,110.3.1-110.6.30為裝潢搬遷期免收月租金.110.7.1-115.2.28月租金10萬元整.115.3.1-120.2.28月租金10.5萬元整.120.3.1-125.2.28月租金11.5萬元整.125.3.1-130.2.28月租金12.5萬元整.,RPQPMLMKLHGGFEE77CC
三民區,房地(土地+建物),高雄市三民區澄明街189號,91.0,其他,,,1100312,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0770719,45.65,0,0,0,無,無,無,17000,372,,0.0,0,,RPQNMLMKLHGGFDE47CC
三民區,房地(土地+建物),高雄市三民區褒揚東街97號,302.44,住,,,1100310,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,1030113,797.68,0,2,2,有,無,有,237798,298,,0.0,0,,RPOOMLMKLHGGFDE37CC
三民區,房地(土地+建物)+車位,高雄市三民區堅如路1號4樓,20.62,住,,,1100311,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830512,128.21,3,2,2,有,有,有,16500,129,升降機械,0.0,0,,RPPOMLMKLHGGFDE47CC
三民區,房地(土地+建物),高雄市三民區松江街36號,86.0,住,,,1100217,土地1建物1車位0,全,5,透天厝,,鋼筋混凝土造,0700514,284.77,0,0,0,無,無,無,32000,112,,0.0,0,110.2.17-110.3.31為裝潢期免付租金.110.4.1-113.3.31月租金3.2萬元正.113.4.1-115.3.31月租金3.36萬元正.,RPSOMLMKLHGGFDE77CC
三民區,房地(土地+建物),高雄市三民區凱歌路262號,111.48,住,,,1100310,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0900418,439.09,6,4,8,有,無,無,45000,102,,0.0,0,,RPTOMLMKLHGGFDE87CC
前鎮區,房地(土地+建物),高雄市前鎮區瑞福路21號11樓之1,7.79,住,,,1100308,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811216,88.64,3,2,2,有,有,有,13000,147,,0.0,0,,RPTOMLMKLHGGFCE77CC
前金區,建物,高雄市前金區五福三路52號3樓之1,0.0,商,,,1100312,土地0建物1車位0,三層,12,辦公商業大樓,,鋼筋混凝土造,0720920,163.93,0,0,0,無,有,無,28000,171,,0.0,0,,RPTOMLMKLHGGFAE57CC
楠梓區,房地(土地+建物),高雄市楠梓區金和街168巷80號10樓,11.31,住,,,1100303,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070606,99.75,2,2,2,有,有,有,19342,194,,0.0,0,,RPPNMLNKLHGGFEE57CC
鳳山區,房地(土地+建物),高雄市鳳山區五甲二路657號,131.0,住,,,1100301,土地1建物1車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1041028,148.48,0,0,0,無,無,無,115500,778,,0.0,0,,RPPNMLNKLHGGFGE77CC
苓雅區,建物,高雄市苓雅區光華一路321號4樓-3,0.0,商,,,1100304,土地0建物1車位0,四層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860709,37.21,1,1,1,有,有,有,10000,269,,0.0,0,,RPPNMLOKLHGGFBE37CC
新興區,房地(土地+建物),高雄市新興區民族二路79號,85.0,商,,,1100203,土地1建物1車位0,一層,3,店面(店鋪),,加強磚造,0611229,67.93,0,0,0,無,無,無,19800,291,,0.0,0,,RPXNMLOKLHGGFBE18CC
前鎮區,建物,高雄市前鎮區新光路21號6樓之7,0.0,商,,,1100301,土地0建物1車位0,六層,39,套房(1房1廳1衛),住家用,見其它登記事項,0880209,41.24,1,0,1,有,有,有,9064,220,,0.0,0,,RPTNMLOKLHGGFCE87CC
前鎮區,房地(土地+建物),高雄市前鎮區廣東三街170巷9弄4號,87.25,住,,,1100308,土地1建物1車位0,全,3,透天厝,,鋼筋混凝土造,0731228,156.71,4,2,3,有,無,有,26000,166,,0.0,0,,RPVNMLOKLHGGFCE08CC
