鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新莊區,建物,新北市新莊區思源路482號,0.0,商,,,1091123,土地0建物1車位0,見其他登記事項,25,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,1021213,138.59,0,0,0,無,有,無,75000,541,,0.0,0,民國109年12月1日起至民國112年11月30日止，每月租金新台幣75000元整。民國112年12月1日起至民國114年11月30日止，每月租金新台幣78750元整。,RPWNMLTLLHGGFBF78CC
新莊區,建物,新北市新莊區中原路５１６號三樓之二,0.0,商,,,1100309,土地0建物1車位1,三層,19,辦公商業大樓,店舖,鋼骨鋼筋混凝土造,1060125,159.24,2,2,1,有,有,有,33000,207,坡道平面,42.84,0,含增建或未登記建物。；租金含管理費。,RPXNMLTLLHGGFBF88CC
新莊區,建物,新北市新莊區幸福路706號2樓,0.0,住,,,1100319,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730709,94.48,3,1,1,有,無,無,19000,201,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為23224，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為19000。,RPQOMLTLLHGGFBF28CC
新莊區,建物,新北市新莊區中和街３０巷１９號五樓,0.0,住,,,1100310,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721026,67.47,3,2,2,有,無,有,16000,237,,0.0,0,租金含梯間清潔費。,RPVPMLTLLHGGFBF88CC
泰山區,建物,新北市泰山區公園路３８巷１２號,0.0,住,,,1100311,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710505,72.98,3,2,2,有,無,有,15000,206,,0.0,0,含增建或未登記建物。；,RPVUMLTLLHGGFBF76CC
五股區,建物,新北市五股區四維路30巷23號,0.0,工,,,1100322,土地0建物1車位0,見其他登記事項,5,工廠,廠房，辦公室，單身員工宿舍,鋼筋混凝土造,0770922,1402.86,0,0,0,無,無,無,378000,,,0.0,0,此案件租金含稅,RPOONLTLLHGGFBF18CC
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段42號9樓之2,31.64,住,,,1100326,土地1建物1車位2,見其他登記事項,19,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1010712,323.45,3,2,2,有,有,有,55000,170,坡道平面,76.7,0,含管理費、稅金或水電等費用。；,RPPONLTLLHGGFBF28CC
林口區,房地(土地+建物),新北市林口區三民路32號,370.45,住,,,1100326,土地1建物1車位0,一層,1,店面(店鋪),一般服務業,鋼骨構造,1090113,175.36,0,0,0,無,無,無,85000,485,,0.0,0,含稅金,RPWONLTLLHGGFBF98CC
板橋區,建物,新北市板橋區四川路2段123號19樓之8,0.0,住,,,1100317,土地0建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890412,101.81,2,2,1,有,有,有,20200,198,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為23626，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額20200。管理費另收756元。,RPQRMLTLLHGGFAF48CC
板橋區,建物,新北市板橋區海山路17號五樓,0.0,住,,,1100327,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771230,64.96,2,2,1,有,無,有,21300,328,,0.0,0,部分租賃,RPOSMLTLLHGGFAF38CC
板橋區,建物,新北市板橋區海山路17號五樓,0.0,住,,,1100327,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771230,79.82,2,2,1,有,無,有,19000,238,,0.0,0,部分租賃B,RPSSMLTLLHGGFAF78CC
板橋區,建物,新北市板橋區廣和街86號8樓,0.0,住,,,1100319,土地0建物1車位0,八層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971120,48.29,1,0,1,有,有,有,15000,311,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為24340，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為15000。管理費另收1315元。,RPTTMLTLLHGGFAF98CC
板橋區,建物,新北市板橋區民生路二段235號二十樓,5.84,住,,,1100325,土地0建物1車位0,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860910,80.16,2,2,1,有,有,有,32500,405,,0.0,0,,RPQNNLTLLHGGFAF18CC
板橋區,房地(土地+建物),新北市板橋區新府路136號2樓,6.35,其他,,,1100228,土地1建物1車位0,二層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971119,120.66,0,0,0,無,有,有,45000,373,,0.0,0,,RPTPNLTLLHGGFAF68CC
新店區,建物,新北市新店區溪園路３８９之９號七樓,0.0,住,,,1100310,土地0建物1車位0,七層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0921201,58.339999999999996,1,1,1,有,有,有,22000,377,,0.0,0,租金含管理費。,RPOOMLTLLHGGFCF18CC
新店區,建物,新北市新店區中央路１６７號二十樓之６,0.0,其他,,,1100310,土地0建物1車位0,二十層,20,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011114,95.00999999999999,2,2,1,有,有,有,30000,316,,0.0,0,租金含管理費。,RPPOMLTLLHGGFCF28CC
中和區,房地(土地+建物),新北市中和區員山路82巷4號,12.67,住,,,1100326,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841005,120.54,3,2,1,有,有,無,30000,249,,0.0,0,,RPPPMLTLLHGGFHF88CC
中和區,建物,新北市中和區景新街496巷39弄7之4號,0.0,住,,,1100319,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700325,78.82,3,2,2,有,無,有,10000,127,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為20169，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為10000。,RPQPMLTLLHGGFHF98CC
中和區,建物,新北市中和區建康路２０２之１號十九樓,0.0,住,,,1100308,土地0建物1車位0,十九層,27,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1080225,94.09,2,2,1,有,有,有,26000,276,,0.0,0,,RPRPMLTLLHGGFHF09CC
中和區,建物,新北市中和區四維街２３巷５號二樓,0.0,住,,,1100308,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680614,96.72,3,2,1,有,無,有,25000,258,,0.0,0,,RPSPMLTLLHGGFHF56CC
樹林區,建物,新北市樹林區樹德街１０５號三樓,0.0,住,,,1100309,土地0建物1車位1,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780927,138.32,3,2,2,有,有,有,24000,174,坡道平面,0.0,0,車位面積無法分算。,RPRNMLTLLHGGFIF98CC
中和區,建物,新北市中和區中正路515號3樓,0.0,住,,,1100329,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0910731,142.1,0,0,0,無,有,無,33000,232,,0.0,0,此租件為分租辦公室,RPUOMLTLLHGGFHF76DC
永和區,建物,新北市永和區秀朗路二段１９０號二樓,0.0,其他,,,1100313,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770203,135.13,4,2,2,有,無,有,22888,169,,0.0,0,,RPTOMLKMLHGGFHF38CC
永和區,建物,新北市永和區仁愛路３０６巷２６號,0.0,住,,,1100313,土地0建物1車位1,一層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910415,99.94,2,1,1,有,有,有,26000,260,坡道平面,20.98,0,租金含管理費。,RPUOMLKMLHGGFHF48CC
中和區,建物,新北市中和區中安街96號,0.0,住,,,1100329,土地0建物3車位0,見其他登記事項,12,店面(店鋪),住家用,鋼筋混凝土造,0860630,288.66,0,0,0,無,無,無,129000,447,,0.0,0,,RPRPMLKMLHGGFHF28CC
新店區,建物,新北市新店區明德路１８號,0.0,住,,,1100313,土地0建物0車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0670902,32.32,0,1,1,有,無,有,19000,588,,0.0,0,含增建或未登記建物。；租賃期間含免租金裝潢期。,RPXNMLKMLHGGFCF18CC
新店區,建物,新北市新店區明德路１８號,0.0,住,,,1100313,土地0建物0車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0670902,33.9,0,1,0,有,無,無,21000,619,,0.0,0,含增建或未登記建物。；租賃期間含免租金裝潢期。,RPPOMLKMLHGGFCF47CC
新店區,建物,新北市新店區寶強路５號五樓,0.0,住,,,1100315,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890407,59.36,2,2,1,有,有,有,22000,371,,0.0,0,租金含管理費。,RPWPMLKMLHGGFCF28CC
板橋區,建物,新北市板橋區大觀路二段154號,0.0,住,,,1100322,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住家用,加強磚造,,116.52,0,0,0,無,無,無,23000,197,,0.0,0,,RPXRMLKMLHGGFAF38CC
板橋區,建物,新北市板橋區合宜路145號6樓之2,0.0,住,,,1100321,土地0建物1車位0,六層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060531,172.52,3,2,2,有,無,有,30000,174,,0.0,0,,RPRVMLKMLHGGFAF18CC
板橋區,建物,新北市板橋區英士路５５號二樓,0.0,商,,,1100315,土地0建物1車位0,二層,28,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0860911,102.81,0,1,1,有,有,有,29500,287,,0.0,0,租金含管理費。,RPUWMLKMLHGGFAF58CC
新莊區,建物,新北市新莊區新泰路２２９號八樓之二,0.0,住,,,1100313,土地0建物1車位0,八層,16,辦公商業大樓,辦公室,鋼筋混凝土造,0831221,90.67999999999999,3,2,1,有,有,有,24000,265,,0.0,0,,RPSPMLKMLHGGFBF77CC
林口區,房地(土地+建物),新北市林口區中北二街57號1樓,30.87,商,,,1100329,土地1建物1車位0,見其他登記事項,10,華廈(10層含以下有電梯),日用品零售業,鋼筋混凝土造,1090924,94.08,0,0,0,無,有,有,22000,234,,0.0,0,含管理費、稅金或水電等費用。；,RPQQMLKMLHGGFBF67CC
林口區,房地(土地+建物)+車位,新北市林口區文化北路一段398-2號,56.54,住,,,1100327,土地1建物1車位4,一層,13,店面(店鋪),一般零售或服務業,鋼筋混凝土造,0990531,299.71000000000004,0,0,0,無,有,有,40000,133,坡道平面,111.16,0,,RPQWMLKMLHGGFBF28CC
新莊區,土地,壽山段626地號,1235.91,其他,,,1100329,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,80000,65,,0.0,0,含增建或未登記建物。；建物未辦理保存登記,RPVNNLKMLHGGFBF97CC
新莊區,建物,新北市新莊區復興路二段５１巷５號十二樓,0.0,住,,,1100315,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,125.84,3,2,2,有,有,有,24680,196,,0.0,0,,RPTONLKMLHGGFBF87CC
三重區,建物,新北市三重區三陽路５７號,0.0,其他,,,1100313,土地0建物1車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0870825,90.29,0,1,1,有,有,有,30000,332,,0.0,0,租賃期間含免租金裝潢期。,RPQQMLKMLHGGFGF18CC
汐止區,建物,新北市汐止區汐萬路二段66巷23號,0.0,,鄉村區,乙種建築用地,1100323,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0710520,84.37,4,2,2,有,有,有,14000,166,,0.0,0,,RPSNMLKMLHGGFDF77CC
汐止區,建物,新北市汐止區伯爵街４７巷５號５樓之１,0.0,,山坡地保育區,丙種建築用地,1100315,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841204,27.84,0,2,1,有,有,有,13500,485,,0.0,0,租金含管理費。,RPWPMLKMLHGGFDF38CC
淡水區,房地(土地+建物),新北市淡水區淡金路38巷33號6樓之26,4.67,住,,,1100326,土地1建物1車位0,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980218,45.15,1,1,1,有,有,有,13000,288,,0.0,0,,RPROMLKMLHGGFEF87CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路四段230巷52號9樓,22.01,住,,,1100327,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060217,150.44,2,2,1,有,有,無,17500,116,坡道平面,40.55,0,,RPUOMLKMLHGGFEF18CC
淡水區,建物,新北市淡水區淡金路一段96號3樓之14,0.0,其他,,,1100304,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0941025,45.1,1,0,1,有,有,有,8000,177,,0.0,0,,RPXOMLKMLHGGFEF48CC
淡水區,房地(土地+建物),新北市淡水區重建街32號四樓,14.18,住,,,1100317,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860811,89.44,4,1,1,有,有,無,10000,112,,0.0,0,,RPPPMLKMLHGGFEF77CC
淡水區,房地(土地+建物),新北市淡水區學府路177號二樓,5.45,住,,,1100328,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691119,19.26,1,0,1,有,無,有,5000,260,,0.0,0,,RPXPMLKMLHGGFEF58CC
淡水區,建物,新北市淡水區淡金路一段96號4樓之11,0.0,其他,,,1100324,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0941025,47.03,1,0,1,有,有,有,9500,202,,0.0,0,,RPQQMLKMLHGGFEF97CC
淡水區,建物,新北市淡水區八勢路５０巷５１號六樓,0.0,住,,,1100315,土地0建物1車位1,六層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060602,231.56,4,2,2,有,有,有,38000,164,坡道平面,34.17,0,,RPOSMLKMLHGGFEF97CC
淡水區,建物,新北市淡水區鄧公路31巷１０之２號,0.0,住,,,1100315,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690531,120.0,3,2,2,有,無,有,13000,108,,0.0,0,租賃期間含免租金裝潢期。,RPQSMLKMLHGGFEF18CC
淡水區,建物,新北市淡水區新民街１７８巷４２弄２號二樓,0.0,住,,,1100312,土地0建物1車位0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780815,43.0,1,1,1,有,有,有,8000,186,,0.0,0,,RPSOMLLMLHGGFEF08CC
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路8號6樓之2,36.07,住,,,1100329,土地1建物1車位1,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960827,261.03999999999996,3,2,2,有,有,有,45000,172,坡道平面,41.28,0,,RPSPMLLMLHGGFEF18CC
淡水區,建物,新北市淡水區淡金路38巷33號十九樓之16,0.0,住,,,1100326,土地0建物1車位0,十九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980218,53.74,1,0,1,有,有,有,12700,236,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為14111，因為新北市計畫租金上限為36000，選擇代租方案須打九折，實際租賃契約金額為12700。套房,RPUQMLLMLHGGFEF48CC
淡水區,建物,新北市淡水區水源街二段177巷60號五樓,0.0,住,,,1100330,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851202,71.17,2,1,1,有,有,有,12000,169,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為13333，因為新北市計畫租金上限為36000，選擇代租方案須打九折，實際租賃契約金額為12000。,RPWQMLLMLHGGFEF68CC
淡水區,房地(土地+建物),新北市淡水區重建街125之1號二樓,31.5,住,,,1100324,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661103,82.17,4,0,4,有,無,有,6000,73,,0.0,0,此為分租套房的其中一間,RPXQMLLMLHGGFEF78CC
汐止區,建物,新北市汐止區南陽街201號11樓,0.0,工,,,1100322,土地0建物1車位0,十一層,12,廠辦,見其他登記事項,見其他登記事項,1010817,1243.75,0,0,0,無,有,有,276529,222,,0.0,0,,RPUPMLLMLHGGFDF28CC
三重區,建物,新北市三重區六張街152號,0.0,其他,,,1100305,土地0建物0車位0,二層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0660428,21.75,1,0,1,有,無,有,6000,276,,0.0,0,此為分租套房，房號203，第2層分成4間，一間平均面積為21.75平方公尺,RPURMLLMLHGGFGF78CC
蘆洲區,建物,新北市蘆洲區光復路３０巷１號三樓,0.0,住,,,1100317,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010103,130.21,3,2,2,有,有,有,27000,207,,0.0,0,租金含管理費。,RPPSMLLMLHGGFGF38CC
三重區,建物,新北市三重區三民街１１６﹐１１６之１﹐１１６之２﹐１１６之３號,0.0,住,,,1100317,土地0建物0車位0,見其他登記事項,4,店面(店鋪),住家用,加強磚造,0601125,114.7,2,2,2,有,無,無,38000,331,,0.0,0,部分承租。,RPTSMLLMLHGGFGF78CC
林口區,建物,新北市林口區文化二路一段２０巷１７號四樓,0.0,住,,,1100312,土地0建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830530,133.29,3,2,2,有,有,有,22500,169,坡道平面,0.0,0,租金含管理費。車位面積無法分算。,RPSNMLLMLHGGFBF67CC
新莊區,建物,新北市新莊區中正路８９３巷８８號九樓,0.0,住,,,1100312,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0981125,93.87,2,2,1,有,有,無,22000,234,,0.0,0,租金含管理費。,RPXNMLLMLHGGFBF18CC
新莊區,房地(土地+建物),新北市新莊區建國二路71號,4542.2,工,,,1100330,土地1建物1車位0,見其他登記事項,1,工廠,工業用,鋼造,0770504,868.0,0,0,0,無,無,無,316000,,,0.0,0,,RPTUMLLMLHGGFBF48CC
新莊區,建物,新北市新莊區五工五路8號,0.0,,工業區,丁種建築用地,1100324,土地0建物1車位1,五層,5,廠辦,工廠．辦公室．防空避難室．車庫．倉庫,鋼筋混凝土造,0810827,1405.83,0,0,0,無,有,無,288000,205,坡道平面,0.0,0,另附加15個機車停車位,RPUWMLLMLHGGFBF78CC
五股區,建物,新北市五股區五權三路25號3樓,0.0,,工業區,丁種建築用地,1100319,土地0建物1車位0,三層,5,廠辦,辦公室、廠房、防空避難室、停車場,鋼筋混凝土造,0810415,1222.39,0,0,0,無,有,無,225000,184,,0.0,0,,RPRNNLLMLHGGFBF67CC
林口區,建物,新北市林口區仁愛路二段３１９號五樓,0.0,住,,,1100313,土地0建物1車位0,五層,15,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1080611,70.57,1,1,1,有,有,有,16000,227,,0.0,0,租金含管理費。,RPXNNLLMLHGGFBF28CC
