鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟6樓,10.18,商,,,1090603,土地1建物1車位1,六層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,133.59,0,0,1,有,無,8140000,63745,坡道平面,30.21,1550000,,RPSWMLSKMHGGFHH27CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟7樓,10.18,商,,,1090630,土地1建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,133.59,0,0,1,有,無,8420000,65003,坡道平面,30.21,1700000,,RPTWMLSKMHGGFHH37CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟8樓,10.4,商,,,1090522,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,135.26,0,0,1,有,無,8420000,64519,坡道平面,31.88,1750000,,RPUWMLSKMHGGFHH47CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟9樓,10.18,商,,,1090904,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,133.59,0,0,1,有,無,8390000,64713,坡道平面,30.21,1700000,,RPVWMLSKMHGGFHH57CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟10樓,10.4,商,,,1090725,土地1建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,137.13,0,0,1,有,無,8340000,64229,坡道平面,33.75,1700000,,RPWWMLSKMHGGFHH67CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟11樓,10.4,商,,,1090630,土地1建物1車位1,十一層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,137.13,0,0,1,有,無,8240000,64229,坡道平面,33.75,1600000,,RPXWMLSKMHGGFHH77CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟12樓,14.98,商,,,1081226,土地1建物1車位1,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.28,3,2,3,有,無,12880000,73031,坡道平面,31.88,1750000,,RPONNLSKMHGGFHH68CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟13樓,14.98,商,,,1090409,土地1建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.28,3,2,3,有,無,13220000,75262,坡道平面,31.88,1750000,,RPPNNLSKMHGGFHH78CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟14樓,14.98,商,,,1090603,土地1建物1車位1,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.28,3,2,3,有,無,12500000,70866,坡道平面,31.88,1700000,,RPQNNLSKMHGGFHH88CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟15樓,14.98,商,,,1090208,土地1建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.28,3,2,3,有,無,13000000,74803,坡道平面,31.88,1600000,,RPRNNLSKMHGGFHH98CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟16樓,14.98,商,,,1081105,土地1建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.28,3,2,3,有,無,12800000,72178,坡道平面,31.88,1800000,,RPSNNLSKMHGGFHH09CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟18樓,12.35,商,,,1090524,土地1建物1車位1,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.72,3,2,2,有,無,10800000,71917,坡道平面,31.88,1750000,,RPTNNLSKMHGGFHH56CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟19樓,12.35,商,,,1090728,土地1建物1車位1,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.72,3,2,2,有,無,11000000,73903,坡道平面,31.88,1700000,,RPUNNLSKMHGGFHH66CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟20樓,12.35,商,,,1090806,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.72,3,2,2,有,無,11000000,73903,坡道平面,31.88,1700000,,RPVNNLSKMHGGFHH76CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟21樓,12.35,商,,,1090918,土地1建物1車位1,二十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.72,3,2,2,有,無,10880000,72155,坡道平面,31.88,1800000,,RPWNNLSKMHGGFHH86CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟22樓,12.35,商,,,1090820,土地1建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.72,3,2,2,有,無,11040000,74221,坡道平面,31.88,1700000,,RPXNNLSKMHGGFHH96CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B5棟23樓,12.35,商,,,1081118,土地1建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.72,3,2,2,有,無,11100000,74301,坡道平面,31.88,1750000,,RPOONLSKMHGGFHH78CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B6棟4樓,8.86,商,,,1081115,土地1建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,120.07,0,0,1,有,無,6950000,60664,坡道平面,31.88,1600000,,RPPONLSKMHGGFHH88CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B6棟5樓,8.86,商,,,1090224,土地1建物1車位1,五層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,120.07,0,0,1,有,無,7290000,63386,坡道平面,31.88,1700000,,RPQONLSKMHGGFHH98CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B6棟6樓,8.65,商,,,1090603,土地1建物1車位1,六層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,118.4,0,0,1,有,無,7090000,62819,坡道平面,30.21,1550000,,RPRONLSKMHGGFHH09CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B6棟7樓,8.86,商,,,1090706,土地1建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,120.07,0,0,1,有,無,7220000,63726,坡道平面,31.88,1600000,,RPSONLSKMHGGFHH56CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路B6棟8樓,8.86,商,,,1090911,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,120.07,0,0,1,有,無,7340000,62819,坡道平面,31.88,1800000,,RPTONLSKMHGGFHH66CB
