鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
安樂區,建物,基隆市安樂區中和路85巷38之2號,0.0,住,,,1100225,土地0建物1車位0,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,41.8,2,1,1,有,有,有,7500,179,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPOPMLSKLHGGFCC77CC
七堵區,建物,基隆市七堵區崇義街37號5樓,0.0,住,,,1100305,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820510,120.05,3,1,2,有,有,有,17500,146,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPPOMLTKLHGGFCC87CC
中正區,建物,基隆市中正區觀海街39號4樓,0.0,住,,,1100310,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,57.41,2,1,2,有,有,有,9000,157,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPQOMLTKLHGGFBC87CC
中正區,建物,基隆市中正區調和街300號6樓之7,0.0,住,,,1100322,土地0建物1車位1,六層,14,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1080212,81.12,1,1,1,有,有,有,15000,185,坡道平面,17.88,0,,RPVNMLOLLHGGFBC87CC
信義區,建物,基隆市信義區仁一路7巷69號4樓,0.0,商,,,1100305,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0610509,72.02,2,2,2,有,無,有,8000,111,,0.0,0,108年度基隆市社會住宅包租代管第2期計劃,RPXNMLLMLHGGFBC87CC
信義區,建物,基隆市信義區深溪路38巷1之7號6樓,0.0,住,,,1100308,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061109,65.96,3,1,1,有,有,有,13500,205,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPOOMLLMLHGGFBC07CC
安樂區,建物,基隆市安樂區樂利三街81號2樓,0.0,住,,,1100308,土地0建物1車位0,二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860117,93.72,3,2,2,有,有,有,12000,128,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPROMLLMLHGGFCC47CC
七堵區,建物,基隆市七堵區崇禮街57之3號,0.0,住,,,1100303,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740523,107.93,3,1,1,有,無,有,12000,111,,0.0,0,108年度基隆市社會住宅包租代管第2期計劃,RPPOMLLJMHGGFCC07CC
七堵區,建物,基隆市七堵區東新街89巷35之3號,0.0,住,,,1100305,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761231,91.0,3,2,2,有,無,有,8500,93,,0.0,0,108年度基隆市社會住宅包租代管第2期計劃,RPQOMLLJMHGGFCC17CC
安樂區,房地(土地+建物),基隆市安樂區麥金路157之1號5樓,13.95,住,,,1100402,土地8建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,119.05,3,2,2,有,有,有,15000,126,,0.0,0,含管理費、稅金或水電等費用。；,RPWPMLQJMHGGFCC38CC
