鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
龜山區,房地(土地+建物)+車位,桃園市龜山區文三二街52巷33號2樓,42.59,住,,,1100224,土地1建物1車位2,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0991012,135.21,3,2,2,有,無,有,30000,222,坡道平面,64.96,0,含管理費、稅金或水電等費用。；,RPOOMLMKLHGGFHH08CC
平鎮區,建物,桃園市平鎮區德育路二段104巷26號4樓,0.0,住,,,1091216,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000117,116.38999999999999,3,2,2,有,無,有,14400,124,,0.0,0,社會住宅租賃車位一個租金另計,RPWNMLMKLHGGFGH68CC
平鎮區,建物,桃園市平鎮區崇德路50號,0.0,住,,,1091230,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0700520,114.0,3,2,2,有,無,有,10000,88,,0.0,0,社會住宅,RPXNMLMKLHGGFGH78CC
桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路85號19樓,16.04,住,,,1091204,土地1建物1車位1,十九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070426,128.53,2,1,1,有,有,有,22400,174,坡道平面,34.43,0,管理費由承租人負擔每月2600元整,RPRQMLMKLHGGFAH08EC
桃園區,建物,桃園市桃園區復興路99號13樓之14,0.0,商,,,1091119,土地0建物1車位0,十三層,21,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0860322,60.60000000000001,1,1,1,有,有,有,8400,139,,0.0,0,管理費由承租人負擔每月1100元整,RPSQMLMKLHGGFAH18EC
中壢區,建物,桃園市中壢區實踐路２２５號五樓之５３,0.0,住,,,1100221,土地0建物1車位0,五層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0930410,30.68,1,0,1,有,有,有,5500,179,,0.0,0,租金含管理費。,RPVNMLMKLHGGFBH08CC
中壢區,建物,桃園市中壢區興仁路二段648巷6號7樓,0.0,住,,,1091231,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020430,88.45,2,1,1,有,無,有,11500,130,,0.0,0,社會住宅,RPSOMLMKLHGGFBH87CC
觀音區,建物,桃園市觀音區坑尾二街160巷16號2樓,0.0,,特定農業區,甲種建築用地,1100104,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070705,81.64,2,1,2,有,無,有,10000,122,,0.0,0,社會住宅,RPTOMLMKLHGGFBH97CC
中壢區,建物,桃園市中壢區仁慈路160巷30弄16號,0.0,住,,,1091215,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0690422,70.12,3,1,1,有,無,有,10000,143,,0.0,0,社會住宅,RPUOMLMKLHGGFBH08CC
中壢區,建物,桃園市中壢區天祥一街7巷17號6樓,0.0,住,,,1091225,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830303,98.34,2,1,1,有,無,有,12000,122,,0.0,0,社會住宅,RPVOMLMKLHGGFBH18CC
中壢區,建物,桃園市中壢區培英路138巷25號,0.0,農,,,1091220,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0630716,117.38,3,2,2,有,無,有,14500,124,,0.0,0,社會住宅,RPWOMLMKLHGGFBH28CC
中壢區,建物,桃園市中壢區維德街7號,0.0,住,,,1100120,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0630527,88.2,5,1,2,有,無,有,15000,170,,0.0,0,社會住宅,RPXOMLMKLHGGFBH38CC
桃園區,建物,桃園市桃園區大有路512號4樓,0.0,住,,,1100111,土地0建物1車位0,四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840419,102.84,3,1,1,有,無,有,16500,160,,0.0,0,社會住宅租賃車位一個租金另計,RPUOMLMKLHGGFAH97CC
桃園區,建物,桃園市桃園區復興路299號5樓之3,0.0,住,,,1091217,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870708,98.86,3,1,1,有,無,有,13600,138,,0.0,0,社會住宅,RPRPMLMKLHGGFAH77CC
桃園區,建物,桃園市桃園區中正路876巷28-1號2樓,0.0,住,,,1091220,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710603,82.02,3,2,2,有,無,有,12000,146,,0.0,0,社會住宅,RPSPMLMKLHGGFAH87CC
