鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
造橋鄉,房地(土地+建物),苗栗縣造橋鄉禮蘭新村39號,103.72,,鄉村區,乙種建築用地,1100523,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0841208,169.65,4,2,3,有,無,無,12000,71,,0.0,0,,RPTNMLOLNHGGFDK98DC
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮苑坑里7鄰74號,156.3,,特定農業區,甲種建築用地,1100513,土地1建物0車位0,全,3,透天厝,住家用,土造,,985.3,3,2,2,有,無,無,10000,10,,0.0,0,含管理費、稅金或水電等費用。；,RPTNMLPLNHGGFCK88CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔一街50號8樓,17.08,住,,,1100506,土地1建物0車位0,八層,10,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090915,69.91,3,2,2,有,無,無,15000,215,,0.0,0,含管理費、稅金或水電等費用。；,RPSOMLPLNHGGFDK98CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮中山路106號,55.08,住,,,1100515,土地1建物0車位0,全,3,透天厝,住商用,磚造,,96.2,3,2,3,有,無,無,27000,281,,0.0,0,含管理費、稅金或水電等費用。；,RPTOMLPLNHGGFDK09CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮科專七路326號5樓之2,40.75,住,,,1100520,土地1建物0車位0,五層,9,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050115,89.9,3,2,2,有,無,無,16000,178,,0.0,0,含管理費、稅金或水電等費用。；,RPUOMLPLNHGGFDK56CC
頭份市,房地(土地+建物),苗栗縣頭份市銀河路258號,19.11,住,,,1100525,土地1建物0車位0,見其他登記事項,2,店面(店鋪),店舖、集合住宅,鋼筋混凝土造,1070809,56.27,3,2,2,有,無,無,12000,213,,0.0,0,含管理費、稅金或水電等費用。；,RPVNMLPLNHGGFFK76CC
頭份市,房地(土地+建物),苗栗縣頭份市信東路二段203號,72.03,住,,,1100501,土地1建物0車位0,全,3,透天厝,住家用,ＲＣ構造，加強磚造,0720609,49.54,3,2,2,有,無,無,16000,323,,0.0,0,含管理費、稅金或水電等費用。；,RPWNMLPLNHGGFFK86CC
頭份市,房地(土地+建物),苗栗縣頭份市富強三街101號,48.17,住,,,1100506,土地1建物0車位0,一層,1,辦公商業大樓,商業用,鋼筋混凝土造,1061115,133.3,1,1,1,有,無,無,24000,180,,0.0,0,含管理費、稅金或水電等費用。；,RPQOMLPLNHGGFFK98CC
頭份市,房地(土地+建物),苗栗縣頭份市中華路883-5號7樓,24.8,住,,,1100517,土地1建物0車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土加強磚造,0541215,61.41,3,2,2,有,無,無,18000,293,,0.0,0,含管理費、稅金或水電等費用。；,RPROMLPLNHGGFFK09CC
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市自治路426巷3號11樓之3,18.92,住,,,1100525,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,60.12,2,1,1,有,有,無,15000,250,其他,0.0,0,,RPUNMLQLNHGGFBK98CC
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市自治路426巷3號11樓之3,18.92,住,,,1100525,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,60.12,2,1,1,有,有,無,15000,250,其他,0.0,0,,RPVNMLQLNHGGFBK09CC
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市自治路426巷3號9樓之3,18.29,住,,,1100524,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,60.12,2,1,1,有,有,無,14000,233,其他,0.0,0,,RPWNMLQLNHGGFBK56CC
苗栗市,房地(土地+建物),苗栗縣苗栗市至公路432號1-2樓,219.64,住,,,1100522,土地1建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830122,107.2,0,0,0,無,無,無,14000,131,,0.0,0,,RPXNMLQLNHGGFBK66CC
苗栗市,房地(土地+建物),苗栗縣苗栗市中山路403號5樓,31.57,住,,,1100426,土地1建物0車位0,五層,,華廈(10層含以下有電梯),,,,132.24,4,2,2,有,無,無,15000,113,,0.0,0,,RPOOMLQLNHGGFBK48CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮照南里16鄰博愛街222號,111.76,住,,,1100429,土地1建物0車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0910115,265.34,4,4,5,有,無,無,30000,113,,0.0,0,,RPPNMLTLNHGGFDK98CC
