鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B2戶6樓,10.25,住,,,1090705,土地13建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.96,2,1,1,有,無,11880000,158715,坡道平面,35.71,2000000,,RPRRMLPKMHGGFDA97DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B2戶7樓,10.25,住,,,1090829,土地13建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.96,2,1,1,有,無,12400000,162249,坡道平面,35.71,2300000,,RPURMLPKMHGGFDA28DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B2戶9樓,10.25,住,,,1090704,土地13建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.96,2,1,1,有,無,12480000,163534,坡道平面,35.71,2300000,,RPXRMLPKMHGGFDA58DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B2戶12樓,10.25,住,,,1090630,土地13建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.96,2,1,1,有,無,12480000,168353,坡道平面,35.71,2000000,,RPQSMLPKMHGGFDA97DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B2戶14樓,10.25,住,,,1090706,土地13建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.96,2,1,1,有,無,13180000,171566,坡道平面,35.71,2500000,,RPUSMLPKMHGGFDA38DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B2戶15樓,10.25,住,,,1091018,土地13建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.96,2,1,1,有,無,13000000,171084,坡道平面,35.71,2350000,,RPVSMLPKMHGGFDA48DB
南港區,房地(土地+建物),臺北市南港區舊莊街一段 B3戶2樓,9.62,住,,,1090702,土地13建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,58.35,2,1,1,有,無,9460000,162125,,0.0,0,,RPOTMLPKMHGGFDA87DB
南港區,房地(土地+建物),臺北市南港區舊莊街一段 B3戶4樓,10.25,住,,,1090629,土地13建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.25,2,1,1,有,無,9480000,152289,,0.0,0,,RPPTMLPKMHGGFDA97DB
南港區,房地(土地+建物),臺北市南港區舊莊街一段 B3戶5樓,10.25,住,,,1090701,土地13建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.25,2,1,1,有,無,9680000,155502,,0.0,0,,RPQTMLPKMHGGFDA08DB
南港區,房地(土地+建物),臺北市南港區舊莊街一段 B3戶6樓,10.25,住,,,1090705,土地13建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.25,2,1,1,有,無,9880000,158715,,0.0,0,,RPRTMLPKMHGGFDA18DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 B3戶8樓,10.25,住,,,1090912,土地13建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.96,2,1,1,有,無,13380000,174779,坡道平面,35.71,2500000,,RPSTMLPKMHGGFDA28DB
